date,median_prem
2021-09-07,22.49
2021-09-08,22.7
2021-09-09,22.27
2021-09-10,22.02
2021-09-13,21.86
2021-09-14,22.25
2021-09-15,21.86
2021-09-16,22.08
2021-09-17,20.68
2021-09-22,20.48
2021-09-23,20.85
2021-09-24,22.73
2021-09-27,24.17
2021-09-28,23.84
2021-09-29,24.25
2021-09-30,23.65
2021-10-08,23.0
2021-10-11,22.65
2021-10-12,22.58
2021-10-13,21.37
2021-10-14,21.42
2021-10-15,22.14
2021-10-18,22.62
2021-10-19,22.68
2021-10-20,23.53
2021-10-21,23.96
2021-10-22,24.45
2021-10-25,24.18
2021-10-26,25.64
2021-10-27,25.6
2021-10-28,27.85
2021-10-29,27.09
2021-11-01,25.19
2021-11-02,26.06
2021-11-03,25.31
2021-11-04,25.01
2021-11-05,25.96
2021-11-08,25.79
2021-11-09,25.84
2021-11-10,25.55
2021-11-11,25.75
2021-11-12,25.55
2021-11-15,25.67
2021-11-16,25.53
2021-11-17,24.47
2021-11-18,24.89
2021-11-19,24.84
2021-11-22,25.6
2021-11-23,25.2
2021-11-24,25.33
2021-11-25,25.78
2021-11-26,26.21
2021-11-29,26.57
2021-11-30,25.68
2021-12-01,25.33
2021-12-02,26.69
2021-12-03,26.62
2021-12-06,26.91
2021-12-07,24.69
2021-12-08,24.24
2021-12-09,25.34
2021-12-10,26.29
2021-12-13,26.02
2021-12-14,25.9
2021-12-15,25.22
2021-12-16,24.95
2021-12-17,26.06
2021-12-20,26.58
2021-12-21,25.27
2021-12-22,24.9
2021-12-23,25.82
2021-12-24,27.01
2021-12-27,26.43
2021-12-28,25.67
2021-12-29,25.76
2021-12-30,25.23
2021-12-31,25.64
2022-01-04,24.98
2022-01-05,25.33
2022-01-06,25.06
2022-01-07,26.19
2022-01-10,25.6
2022-01-11,25.43
2022-01-12,25.17
2022-01-13,25.67
2022-01-14,25.15
2022-01-17,24.75
2022-01-18,25.42
2022-01-19,25.95
2022-01-20,27.52
2022-01-21,28.95
2022-01-24,29.92
2022-01-25,32.71
2022-01-26,32.07
2022-01-27,34.04
2022-01-28,32.52
2022-02-07,31.76
2022-02-08,31.25
2022-02-09,30.79
2022-02-10,31.63
2022-02-11,32.83
2022-02-14,28.71
2022-02-15,25.9
2022-02-16,25.12
2022-02-17,25.37
2022-02-18,25.74
2022-02-21,25.44
2022-02-22,25.93
2022-02-23,25.79
2022-02-24,27.22
2022-02-25,26.93
2022-02-28,27.42
2022-03-01,27.23
2022-03-02,26.89
2022-03-03,25.97
2022-03-04,25.0
2022-03-07,24.44
2022-03-08,25.6
2022-03-09,26.6
2022-03-10,26.98
2022-03-11,25.58
2022-03-14,28.92
2022-03-15,33.02
2022-03-16,32.01
2022-03-17,31.54
2022-03-18,31.12
2022-03-21,30.49
2022-03-22,30.47
2022-03-23,29.92
2022-03-24,30.13
2022-03-25,28.75
2022-03-28,28.1
2022-03-29,28.86
2022-03-30,28.32
2022-03-31,28.53
2022-04-01,29.91
2022-04-06,29.63
2022-04-07,31.37
2022-04-08,31.0
2022-04-11,32.41
2022-04-12,31.36
2022-04-13,33.84
2022-04-14,33.41
2022-04-15,35.44
2022-04-18,35.4
2022-04-19,35.86
2022-04-20,36.12
2022-04-21,41.06
2022-04-22,40.95
2022-04-25,49.01
2022-04-26,51.08
2022-04-27,48.01
2022-04-28,50.27
2022-04-29,48.13
2022-05-05,46.79
2022-05-06,47.96
2022-05-09,46.68
2022-05-10,44.3
2022-05-11,44.1
2022-05-12,44.43
2022-05-13,44.77
2022-05-16,45.62
2022-05-17,46.44
2022-05-18,45.28
2022-05-19,43.44
2022-05-20,42.71
2022-05-23,42.07
2022-05-24,44.85
2022-05-25,43.78
2022-05-26,42.49
2022-05-27,43.64
2022-05-30,42.53
2022-05-31,41.46
2022-06-01,40.49
2022-06-02,39.1
2022-06-06,38.72
2022-06-07,39.66
2022-06-08,38.79
2022-06-09,40.38
2022-06-10,39.24
2022-06-13,38.5
2022-06-14,37.44
2022-06-15,38.38
2022-06-16,38.21
2022-06-17,37.77
2022-06-20,34.92
2022-06-21,35.67
2022-06-22,37.79
2022-06-23,35.12
2022-06-24,34.32
2022-06-27,34.49
2022-06-28,34.54
2022-06-29,35.96
2022-06-30,35.68
2022-07-01,35.63
2022-07-04,35.15
2022-07-05,34.79
2022-07-06,35.15
2022-07-07,35.05
2022-07-08,35.43
2022-07-11,35.32
2022-07-12,35.42
2022-07-13,34.78
2022-07-14,34.47
2022-07-15,36.75
2022-07-18,35.01
2022-07-19,33.89
2022-07-20,34.04
2022-07-21,33.48
2022-07-22,34.18
2022-07-25,35.43
2022-07-26,34.36
2022-07-27,34.27
2022-07-28,34.28
2022-07-29,34.88
2022-08-01,34.06
2022-08-02,38.83
2022-08-03,38.85
2022-08-04,38.76
2022-08-05,36.6
2022-08-08,35.77
2022-08-09,36.64
2022-08-10,35.97
2022-08-11,35.68
2022-08-12,36.54
2022-08-15,36.28
2022-08-16,36.1
2022-08-17,35.93
2022-08-18,35.12
2022-08-19,34.81
2022-08-22,33.96
2022-08-23,34.49
2022-08-24,36.39
2022-08-25,35.5
2022-08-26,35.43
2022-08-29,34.26
2022-08-30,34.61
2022-08-31,35.88
2022-09-01,37.01
2022-09-02,36.17
2022-09-05,36.35
2022-09-06,36.02
2022-09-07,36.26
2022-09-08,36.49
2022-09-09,36.84
2022-09-13,36.35
2022-09-14,37.39
2022-09-15,38.68
2022-09-16,40.7
2022-09-19,41.75
2022-09-20,40.48
2022-09-21,40.1
2022-09-22,41.15
2022-09-23,42.33
2022-09-26,43.43
2022-09-27,41.54
2022-09-28,43.62
2022-09-29,43.59
2022-09-30,45.26
2022-10-10,45.82
2022-10-11,45.17
2022-10-12,43.7
2022-10-13,43.13
2022-10-14,42.4
2022-10-17,40.42
2022-10-18,40.38
2022-10-19,41.59
2022-10-20,40.91
2022-10-21,39.77
2022-10-24,39.99
2022-10-25,39.57
2022-10-26,38.58
2022-10-27,39.24
2022-10-28,42.7
2022-10-31,41.54
2022-11-01,39.57
2022-11-02,39.3
2022-11-03,38.73
2022-11-04,38.04
2022-11-07,37.4
2022-11-08,37.51
2022-11-09,37.73
2022-11-10,37.69
2022-11-11,38.01
2022-11-14,37.62
2022-11-15,35.36
2022-11-16,34.97
2022-11-17,32.69
2022-11-18,33.47
2022-11-21,33.85
2022-11-22,35.14
2022-11-23,35.02
2022-11-24,35.45
2022-11-25,36.11
2022-11-28,36.31
2022-11-29,35.44
2022-11-30,36.53
2022-12-01,36.64
2022-12-02,36.53
2022-12-05,35.44
2022-12-06,35.46
2022-12-07,34.97
2022-12-08,35.81
2022-12-09,35.27
2022-12-12,35.42
2022-12-13,34.09
2022-12-14,33.29
2022-12-15,33.63
2022-12-16,33.22
2022-12-19,34.29
2022-12-20,34.6
2022-12-21,35.97
2022-12-22,37.9
2022-12-23,37.22
2022-12-26,36.48
2022-12-27,35.9
2022-12-28,37.12
2022-12-29,37.07
2022-12-30,35.67
2023-01-03,34.54
2023-01-04,34.0
2023-01-05,34.22
2023-01-06,35.34
2023-01-09,35.18
2023-01-10,34.71
2023-01-11,35.29
2023-01-12,36.46
2023-01-13,35.54
2023-01-16,35.01
2023-01-17,35.33
2023-01-18,35.29
2023-01-19,35.44
2023-01-20,35.52
2023-01-30,34.51
2023-01-31,32.63
2023-02-01,32.82
2023-02-02,33.0
2023-02-03,32.95
2023-02-06,32.3
2023-02-07,32.03
2023-02-08,31.9
2023-02-09,30.48
2023-02-10,30.87
2023-02-13,30.34
2023-02-14,29.98
2023-02-15,28.75
2023-02-16,29.84
2023-02-17,29.64
2023-02-20,28.82
2023-02-21,28.61
2023-02-22,28.86
2023-02-23,28.48
2023-02-24,28.08
2023-02-27,29.15
2023-02-28,28.98
2023-03-01,28.65
2023-03-02,28.91
2023-03-03,29.52
2023-03-06,29.67
2023-03-07,32.06
2023-03-08,30.59
2023-03-09,30.41
2023-03-10,31.45
2023-03-13,31.41
2023-03-14,32.62
2023-03-15,31.78
2023-03-16,33.51
2023-03-17,33.09
2023-03-20,33.66
2023-03-21,33.55
2023-03-22,32.45
2023-03-23,32.17
2023-03-24,33.09
2023-03-27,32.73
2023-03-28,33.45
2023-03-29,33.31
2023-03-30,33.83
2023-03-31,33.7
2023-04-03,33.46
2023-04-04,34.3
2023-04-06,34.31
2023-04-07,34.12
2023-04-10,35.56
2023-04-11,34.79
2023-04-12,33.65
2023-04-13,34.1
2023-04-14,34.47
2023-04-17,34.2
2023-04-18,35.22
2023-04-19,34.82
2023-04-20,33.96
2023-04-21,36.44
2023-04-24,35.2
2023-04-25,37.35
2023-04-26,38.34
2023-04-27,38.84
2023-04-28,38.0
2023-05-04,36.84
2023-05-05,37.04
2023-05-08,36.77
2023-05-09,37.74
2023-05-10,37.45
2023-05-11,38.39
2023-05-12,37.14
2023-05-15,36.26
2023-05-16,38.0
2023-05-17,37.19
2023-05-18,36.73
2023-05-19,36.68
2023-05-22,36.56
2023-05-23,37.14
2023-05-24,37.2
2023-05-25,36.08
2023-05-26,37.43
2023-05-29,38.07
2023-05-30,37.26
2023-05-31,37.33
2023-06-01,37.62
2023-06-02,37.52
2023-06-05,36.83
2023-06-06,38.43
2023-06-07,38.56
2023-06-08,38.7
2023-06-09,38.97
2023-06-12,38.19
2023-06-13,38.44
2023-06-14,38.96
2023-06-15,38.81
